EudraCT_No,Title,Phase,Objective,End_date,Sample_size,pr_endpoint,endpoint_description,Treatment,LT_followup,manual_label
2018-003243-39,phase 3 randomized double blind placebo controlled multicenter study evaluate safety efficacy ravulizumab complement inhibitor naa adult patient generalized myasthenia gravis,3,primary purpose study evaluate safety efficacy ravulizumab treatment participant generalized myasthenia gravis gmg,,175,change baseline myasthenia gravis activity daily living mg adl total score week 26,mg adl 8 point questionnaire focusing relevant symptom functional performance activity daily living participant mg 8 item mgadl questionnaire derived symptom based component original 13 item qmg scale as disability secondary ocular 2 item bulbar 3 item respiratory 1 item gross motor limb 2 item impairment related effect mg functional status instrument response graded 0 normal 3 severe range total mg adl score 0 24 decrease score indicated improvement estimate based mmrm included treatment group stratification factor region mg adl total score baseline study visit study visit treatment group interaction full analysis set randomized participant received least 1 dose study drug,Ravulizumab,No,0
2009-016138-29,randomized multicenter open label phase iii study plitidepsin combination dexamethasone v dexamethasone alone patient relapsed refractory multiple myelomaa,iii,compare efficacy plitidepsin combination dexamethasone v dexamethasone alone measured progression free survival pfs patient relapsed refractory multiple myeloma mm,20-Nov-17,255,progression free survival independent review committee,primary study analysis based externally assessed pfs data external irc blinded treatment arm assigned progression censoring date patient based laboratory data radiological bone marrow assessment required evaluation relevant clinical information according predefined algorithm itt efficacy population defined patient randomized either treatment arm pfs calculated randomization first evidence pd imwg criterion death due cause patient received antitumor therapy pd pfs censored date last disease assessment prior administration patient lost follow pfs censored date last valid tumor assessment missing evaluation event assigned first time pd reported without necessity confirmation,Aplidin,No,2
2016-000474-38,multicenter 2 cohort trial first as pharmacokinetic safety profile single dose zx008 fenfluramine hydrochloride oral solution added standard care cohort 1 followed randomized double blind placebo controlled parallel group evaluation efficacy safety tolerability zx008 adjunctive antiepileptic therapy stiripentol treatment child young adult dravet syndrome cohort 2,0,demonstrate fenfluramine hydrochloride superior placebo treatment dravet syndrome child young adult stabilized stp regimen based change convulsive seizure frequency csf baseline combined titration maintenance period period,05-Jun-18,87,change convulsive seizure frequency csf baseline period baseline combined titration maintenance period,baseline adjusted csf mean number convulsive seizure per 28 day baseline period zx008 0 5 mg kg day v placebo modified intent treat mitt population defined randomized subject received least 1 dose zx008 placebo least 1 week diary data available,fenfluramine hydrochloride,Yes,0
2014-000418-75,multicenter multinational randomized double blind placebo controlled parallel group study evaluate efficacy safety laquinimod 0 5 1 0 1 5 mg day treatment patient huntington disease,0,primary objective study as efficacy laquinimod treatment participant huntingtonâ disease hd 52 week using unified huntingtonâ disease rating scale total motor score uhdrs tm tm,19-Jun-18,352,change baseline uhdrs tm week 52,uhdrs as motor function cognition behaviour functional ability independence scale total functional capacity tfc motor function assessment includes tm tfc score uhdrs tm as motor feature hd includes maximal chorea maximal dystonia ocular pursuit saccade initiation velocity dysarthria tongue protrusion finger tapping hand pronation supination luria rigidity bradykinesia gait tandem walking retropulsion pull test rated scale 0 normal motor function 4 severely impaired motor function tm score sum individual score ranging 0 normal motor function 124 severely impaired motor function lower tm score better motor function full analysis set fa participant itt population randomized participant received least 1 dose study drug least 1 post baseline tm assessment number participant analysed participant evaluable endpoint,Placebo,No,0
2012-002933-12,phase ii pilot study explore treatment sodium valproate adult mcardle disease glycogen storage disorder type v gsdv,ii,determine whether patient taking medicine called sodium valproate improve muscle function expressed increased number normal muscle fibre muscle biopsy,10-Dec-18,8,workload,participant cycled cycle ergometer oxygen consumption assessed face mask attached cortex ergospirometry cortex metalyzer ii cortex biophysik gmbh leipzig germany uk quark cpet cosmed srl milan italy dk incremental cycle ergometer test performed screening visit zero 20w first minute increased least 5w every two minute determine participant aerobic power vo2peak heart rate hr monitored throughout using 3 lead cardiac monitor rate perceived exertion rpe recorded every minute,Sodium Valproate,No,1
2012-000928-18,double blind randomised prospective placebo controlled parallel group phase iii study investigate effect egcg supplementation disease progression patient multiple system atrophy msa,iii,as efficacy egcg v placebo reduce progression motor examination unified msa rating scale umsars v1 v7 80 power 5 p level 50 effect size e expected mean yearly umsars increase 3 9 verum treatment compared 7 8 â 6 8 mean â standard deviation placebo treatment,16-Sep-16,92,score motor examination umsars baseline week 52,primary endpoint change baseline week 52 motor examination score unified msa rating scale umsars as 14 operationalised sign multiple system atrophy 25 score 14 item range 0 4 thus total score range 0 56 higher score mean worse outcome,Placebo (mannitol),No,0
2017-004135-36,phase 3 randomized rater blinded multi center study evaluate efficacy safety alxn1840 administered 48 week versus standard care patient wilson disease aged 12 year older extension period 60 month,3,main objective trial evaluate efficacy alxn1840 administered 48 week compared standard care soc copper control participant wilson disease aged 12 year older,30-Jun-23,226,daily mean area effect time curve auec directly measured non ceruloplasmin bound copper dncc 0 48 week dncc auec0 48w,dncc directly quantified copper bound ceruloplasmin obtained inductively coupled plasma mass spectrometry immunocapture removal ceruloplasmin baseline defined last non missing value first study drug administration least square l mean standard error se calculated using analysis covariance ancova full analysis set included randomized participant received least 1 dose randomized treatment,ALXN1840,Yes,2
2019-001100-38,randomized double blind placebo controlled parallel group study evaluate efficacy safety bhv 3241 subject multiple system atrophy star study,0,evaluate efficacy verdiperstat bhv 3241 compared placebo measured change baseline modified unified multiple system atrophy msa rating scale umsars consisting subset item part part ii week 48 as safety tolerability verdiperstat relative placebo participant msa,30-Jun-22,336,change baseline modified umsars score week 48,nan,Verdiperstat,No,0
2018-004406-25,effect n acetyl l leucine gm2 gangliosidosis tay sachs sandhoff disease multinational multicenter open label rater blinded phase ii study,ii,primary objective evaluate efficacy n acetyl l leucine based blinded ratersâ clinical impression change severity ci c treatment gm2 gangliosidosis tay sachs sandhoff disease extension phase primary objective evaluate efficacy n acetyl l leucine based blinded raters clinical impression change severity cics long term treatment gm2,09-Jan-23,30,clinical impression change severity ci c,primary efficacy endpoint based blinded raters ci c patient change performance 6 week either 9 hole peg test dominant hand 9hpt 8 meter walk test 8mwt primary endpoint defined ci c comparing end treatment visit 4 baseline visit 2 minus ci c comparing end washout visit 6 end treatment visit 4 one sided wilcoxon signed rank test performed investigate statistical significance primary efficacy endpoint compared value 0 mitt population pseudo median difference ci c using hodges lehmann estimator 0 75 90 ci 0 00 1 50 ci c primary endpoint study reached statistical significance p value 0 044 addition one sided test performed support statistical significance p value 0 039,N-Acetyl-L-Leucine,No,1
2014-000255-85,phase 3 study comparing daratumumab bortezomib dexamethasone dvd v bortezomib dexamethasone vd subject relapsed refractory multiple myeloma,3,main objective trial compare efficacy daratumumab velcade bortezomib dexamethasone dvd bortezomib dexamethasone vd term progression free survival pfs subject relapsed refractory multiple myeloma,28-Jun-21,498,progression free survival pfs,pfs duration date randomisation either progressive disease pd death whichever occurred first pd meeting one criterion increase greater equal 25 percent level serum protein lowest response value absolute increase must 0 5 g dl increase 25 24 hour urine protein lowest response value absolute increase must 200 mg 24hours subject without measurable serum urine protein level increase 25 difference involved uninvolved flc level lowest response value absolute increase must 10 mg dl definite increase size existing bone lesion soft tissue pc definite development new bone lesion soft tissue pc development hypercalcemia corrected serum calcium 11 5 mg dl attributed solely pc proliferative disorder intent treat set randomised subject 99999 median upper limit 95 ci estimable due lower number event,Dexamethasone,No,2
2016-001164-11,open label safety trial intravenous neridronic acid subject complex regional pain syndrome crp,0,as safety tolerability neridronic acid subject complex regional pain syndrome,09-Jan-19,580,number subject occurrence treatment emergent adverse event teae,primary endpoint trial binary endpoint assessing whether subject experienced teae,Sodium neridronate hemi hydrate for intravenous infusion,No,0
2016-003403-66,open label extension trial as long term safety nintedanib patient systemic sclerosis associated interstitial lung diseasea ssc ild,0,primary objective trial as long term safety nintedanib treatment patient ssc ild,25-Jan-23,444,number patient adverse event ae course trial,number patient adverse event ae course trial treated set patient signed informed consent received least 1 dose trial medication,Nintedanib,No,0
2016-002698-36,multicenter randomized investigator subject blind placebo controlled treatment sequence study evaluating safety tolerability efficacy ucb7665 subject moderate severe myasthenia gravis,0,evaluate clinical efficacy ucb7665 chronic intermittent treatment subject generalized myasthenia gravis mg classified moderate severe,06-Aug-18,43,change baseline quantitative myasthenia gravis qmg score visit 9,total qmg score obtained summing response individual item 13 item response none 0 mild 1 moderate 2 severe 3 score range 0 39 lower score indicating lower disease activity change baseline calculated negative value indicating improvement positive value worsening,Placebo,No,0
2016-003876-29,chelate study trientine tetrahydrochloride teta 4hcl treatment wilsona disease,0,evaluate efficacy safety trientine tetrahydrochloride compared penicillamine stable adult wilson disease patient tolerant penicillamine non inferiority randomised trial primary endpoint determine efficacy mean difference non ceruloplasmin copper ncc serum two treatment group,18-Jan-22,77,serum non ceruloplasmin bound copper ncc concentration,summary statistic,Penicillamine,No,2
